administrator,Another word for either the root user or one who has adopted that user’s powers temporarily.
lamp,"Acronym describing a series of programs that work together to provide a complete Linuxbased web-hosting environment. Stands for Linux, Apache, MySQL, and Perl, PHP or Python
(the last three in the list are scripting languages; see script)."
lgpl,"Lesser GPL; version of the GNU Public License (GPL) in which some use restrictions are
slackened at the expense of various freedoms laid down by the main GPL. The LGPL is
mostly used for library files."
library,"General term referring to code that programs need to run and that, once in memory, is
frequently accessed by many programs (leading to the phrase “shared library”). The most
common and vital library is glibc (GNU C Library), created by GNU Project, The and the
fundamental building block without which Linux could not operate. GNOME relies on the
GTK+ libraries, among others."
link,"File system method of assigning additional filenames to a file; also known as a “hard link.”
See also symbolic link."
linux,"You mean you don’t know by now? Linux is what this book is all about. It is a kernel program
created by Torvalds, Linus in 1991 to provide an inexpensive operating system for his computer,
along with other components. These days, Linux is used to describe the entire operating
system discussed in this book, although many argue (perhaps quite rightly) that this is
inaccurate, and use the term GNU/Linux instead."
local,Shorthand referring to the user’s PC or a device directly attached to it (as opposed to remote).
localhost,"(1) Network name used internally by Linux and software to refer to the local computer,
distinct from the network.
(2) Default name given to a Linux-based PC when no other name is defined during installation.
However, under Ubuntu, the name ubuntu is assigned if no name is defined by the user. "
minix,"Operating system that is a rough clone of Unix, created by Professor Andrew Tanenbaum.
It was the inspiration for Linux."
module,"Program code that can be inserted or removed from the kernel in order to support particular
pieces of hardware or provide certain kernel functions. Drivers under Windows perform the
same function."
mount,"To add a file system so that it is integrated (and therefore accessible) within the main file
system; applies to external file systems, such as those available across networks, as well as
those on the local PC, such as the hard disk or CD/DVD-ROMs."
mysql,Popular and powerful open source database application. See also LAMP.
newbie,"Term used to describe anyone who is new to Linux and therefore still learning the basics.
It’s not a derogatory term! See also guru."
ntfs,"NT File System; file system offered by Windows NT, 2000, and XP. It can be read by Linux,
but usually writing is prohibited because it is considered unsafe. See also FAT32."
partition,Subdivision of a hard disk into which a file system can be installed.
pipe,"Method of passing the output from one command to another for further processing. Piping
is achieved within the shell by typing the | symbol."
posix,"Portable Operating System Interface; various technical standards that define how Unix-like
operating systems should operate and to which the Linux operating system attempts to adhere."
process,"The way the system refers to the individual programs (or components of programs) running
in memory"
proprietary,"Effectively, software for which a software license must be acquired, usually for a fee. This
usually means the source code is kept secret, but it can also indicate that the source code is
available to view but not to incorporate into your own projects or share with others."
redirect,"To send the output of a command into a particular file. This also works the other way around:
the contents of a particular file can be directed into a command. Redirection is achieved
within the shell using the left and right angle brackets (< and >), respectively."
regex,See regular expression.
remote,"Indicates a computer or service that is available across a network, including but not limited
to computers on the Internet (as opposed to local)."
root,"(1) The bottom of the Linux file system directory structure, usually indicated by a forward
slash (/).
(2) The user on some versions of Unix or Linux who has control over all aspects of hardware,
software, and the file system.
(3) Used to describe a user who temporarily takes on the powers of the root user (via the sudo
command, for example)."
rtfm,"Read the freaking manual/man page; exclamation frequently used online when a newbie
asks for help without having undertaken basic research."
samba,"Program that re-creates under Unix or Linux the Microsoft SMB-based system of sharing
files, printers, and other computer resources across a network. It allows Linux to become
a file or printer server for Linux and Windows computers, and also allows a Linux client to
access a Windows-based server."
scalable,"Term describing the ability of a single computer program to meet diverse needs, regardless
of the scale of the potential uses. The Linux kernel is described as being scalable because it
can run supercomputers, as well as handheld computers and home entertainment devices."
script,"Form of computer program consisting of a series of commands in a text file. Most shells
allow some form of scripting, and entire programming languages such as Perl are based
around scripts. In the context of the Linux operating system, shell scripts are usually created
to perform trivial tasks or ones that frequently interact with the user. Shell scripts have the
advantage that they can be frequently and easily modified. The Linux boot process relies on
several complex scripts to configure essential system functions such as networking and the
GUI. See also init."
server,"(1) Type of computer designed to share data with other computers over a network.
(2) Software that runs on a computer and is designed to share data with other programs on
the same PC or with other PCs across a network."
service,"Background program that provides vital functions for the day-to-day running of Linux; also
known as a daemon. Services are usually started when the computer boots up and as such
are constituent parts of a run level."
shell,"Broadly speaking, any program that creates an operating environment in which you can
control your computer. The GNOME desktop can be seen as a shell, for example. However,
it’s more commonly understood within Unix and Linux circles as a program that lets you
control the system using commands entered at the keyboard. In this context, the most common
type of shell in use on Linux is BASH."
solaris,"Form of Unix sold by Sun Microsystems; runs on proprietary hardware systems as well as on
commodity systems based on Intel and AMD processors."
ssl,"Secure Sockets Layer; form of network data transfer designed to encrypt information for
security purposes. It’s used online for certain web sites and also within Linux for certain
types of secure data exchange."
string,"A word, phrase, or sentence consisting of letters, numbers, or other characters that is used
within a program and is often supplied by the user."
sudo,"Program that runs under Unix and Linux by which ordinary users are temporarily afforded
administrator rights. Ubuntu relies on sudo as the exclusive way for users to administer
the system."
swap,"Area of the hard disk that the Linux kernel uses as a temporary memory storage area. Desktop
or server Linux differs from Windows in that it usually requires a separate hard disk partition
in which to store the swap file."
sysadmin,"Systems administrator; a way of describing the person employed within a company to
oversee the computer systems. In such an environment, the sysadmin usually is the root
user of the various computers."
tainted,"Describes a kernel that is using proprietary modules in addition to Open Source modules.
Can also refer to insecure software."
terminal,Another word for shell.
ubuntu,"Linux distribution with several unique characteristics. Ubuntu is designed primarily for
desktop use, although several server versions are available. It is intended for use by individuals
in any location in the world, so it has strong multiple language support. It’s run by the
Ubuntu Foundation, which is financially backed by Shuttleworth, Mark. Each release is
guaranteed to be supported for 18 months (5 years in the case of server releases)."
unix,"Seminal operating system created as a research project in 1969 by Kenneth Thompson and
Dennis Ritchie at Bell Labs (later AT&T). Because it was initially possible to purchase the
source code for a fee, subsequent revisions were enhanced by a variety of organizations and
went on to run many mainframe and minicomputer systems throughout the 1980s, 1990s,
and up to the present. Nowadays, Unix is fragmented and exists in a variety of different versions.
Perhaps most popular is its Open Source rendition, BSD Unix, which has seen many developments since the source code was first released. This means that BSD Unix no longer exists
but has instead diversified into a number of separate projects. Proprietary versions are also
available, including Solaris, HP-UX, and AIX."
user,"The way the operating system refers to anyone who accesses its resources. A user must first
have a user account set up, effectively giving that user his or her own private space on the
system. In addition to actual human users, an average Linux system has many other user
accounts created to let programs and services go about their business. These are usually not
seen by human users."
variable,"A changeable value that stores a certain data type (such as a number, date, or string), remembering it for future reference by the system or script it is defined by. Variables defined by and
for the Linux kernel are vital to it."
verbose,"Command option that will cause it to return more detailed output (or, in some cases, to
return actual output if the command is otherwise “quiet”); usually specified by adding the
-v command option."
vfat,"Virtual File Allocation Table; technical name of Microsoft’s FAT file system offered under
Windows and also on removable storage devices such as flash memory cards."
wine,"Short for Wine Is Not an Emulator; software that re-creates the Windows Application
Programming Interface (API) layer within Linux and lets users run Windows programs."
workspace,X terminology referring to a GUI desktop.
xinetd,The service responsible for starting various network servers on the computer.
xmms,Audio player program.
xterm,"Simple program that allows you to run a shell under X. This program has the advantage of
being available on most Linux systems that offer a GUI."
